ax,ay,az,gx,gy,gz,type
14252.0,-852.0,-3132.0,-19684.0,2100.0,-1239.0,handsside
32767.0,-16212.0,268.0,2372.0,-3859.0,8796.0,handsside
15384.0,-3748.0,1560.0,10498.0,-6620.0,-937.0,handsside
14000.0,4628.0,-9640.0,18483.0,-607.0,-6999.0,handsside
13920.0,2784.0,-7328.0,-7469.0,1197.0,4233.0,handsside
12656.0,6772.0,-4608.0,-13269.0,2960.0,13063.0,handsside
18064.0,3500.0,-1168.0,-758.0,-1123.0,-3504.0,handsside
19828.0,-368.0,-5884.0,19298.0,4074.0,-908.0,handsside
14908.0,452.0,-9824.0,7654.0,440.0,-627.0,handsside
10932.0,-2360.0,-10684.0,-466.0,163.0,-839.0,handsup
10448.0,-2084.0,-10884.0,-621.0,-97.0,-243.0,handsup
10916.0,-3392.0,-10584.0,1851.0,606.0,-295.0,handsup
10336.0,-1708.0,-10688.0,228.0,-372.0,-2780.0,handsup
10932.0,-1572.0,-10528.0,-118.0,-106.0,-633.0,handsup
11232.0,-576.0,-10840.0,-961.0,-420.0,-655.0,handsup
10448.0,1064.0,-11140.0,-2722.0,-1343.0,-4670.0,handsup
10248.0,1720.0,-11048.0,-761.0,-293.0,-1593.0,handsup
11296.0,744.0,-11948.0,1205.0,578.0,3650.0,handsup
9672.0,700.0,-10508.0,-1837.0,-695.0,-1479.0,handsup
9872.0,1780.0,-11048.0,-1690.0,-342.0,80.0,handsup
11008.0,440.0,-11148.0,-332.0,297.0,1478.0,handsup
11336.0,412.0,-11172.0,963.0,367.0,-1806.0,handsup
9500.0,2320.0,-9512.0,-4585.0,-2496.0,-1964.0,handsup
5792.0,4104.0,-11792.0,-1237.0,-1420.0,80.0,handsup
7000.0,3280.0,-13068.0,623.0,-476.0,-105.0,handsup
8064.0,3020.0,-12852.0,-240.0,39.0,149.0,handsup
7676.0,3216.0,-12924.0,-278.0,-107.0,128.0,handsup
8428.0,2672.0,-12176.0,-1063.0,-743.0,-1161.0,handsup
1316.0,4324.0,-16888.0,-7446.0,-11297.0,12010.0,handsup
10200.0,-5904.0,-16416.0,18341.0,6643.0,-6868.0,handsup
7592.0,252.0,-2488.0,17509.0,17174.0,-9640.0,handsup
7888.0,-2596.0,-25780.0,-32768.0,-32768.0,21329.0,handsup
6356.0,-2512.0,-17576.0,13673.0,10732.0,-6625.0,handsup
6580.0,-4120.0,-8268.0,26009.0,13897.0,-10553.0,handsup
5404.0,-1236.0,-9880.0,-28739.0,-24974.0,5764.0,handsup
2708.0,-6076.0,-11740.0,6470.0,6033.0,-3027.0,handsup
7352.0,-12860.0,-19848.0,32767.0,17645.0,-18436.0,handsup
9852.0,-1664.0,-1488.0,-11270.0,-9765.0,3610.0,handsup
-2308.0,-4664.0,-26548.0,-26808.0,-29931.0,12368.0,handsup
3460.0,-5036.0,-22308.0,19567.0,16595.0,-12210.0,handsup
6800.0,696.0,-4700.0,13969.0,15328.0,-10126.0,handsup
6976.0,-340.0,-17092.0,-26180.0,-32768.0,16394.0,handsup
1956.0,-2592.0,-13024.0,5489.0,5179.0,2232.0,handsup
8924.0,-13064.0,-23300.0,32767.0,26826.0,-3770.0,handsup
8352.0,-3052.0,3616.0,-11127.0,-7390.0,1009.0,handsup
2300.0,-1776.0,-32768.0,-31372.0,-32376.0,13506.0,handsup
832.0,-4480.0,-19964.0,21895.0,12672.0,-18232.0,handsup
5740.0,-3904.0,-3392.0,16247.0,17980.0,-1801.0,handsup
4804.0,-6876.0,-18788.0,-30408.0,-28411.0,11334.0,handsup
1884.0,-3880.0,-11532.0,3829.0,2123.0,1944.0,handsup
5296.0,-14508.0,-22320.0,32767.0,25313.0,-4618.0,handsup
9696.0,-2348.0,2852.0,-1829.0,-6969.0,-2326.0,handsup
1540.0,-2756.0,-32768.0,-30917.0,-32768.0,18831.0,handsup
-1012.0,-916.0,-19240.0,14896.0,11082.0,-16519.0,handsup
4860.0,-1992.0,-8004.0,20820.0,22492.0,-11522.0,handsup
6572.0,-2704.0,-6668.0,-23734.0,-26801.0,4804.0,handsup
2956.0,-3760.0,-19976.0,-10347.0,-10366.0,24289.0,handsup
3256.0,-8112.0,-29016.0,26838.0,26791.0,-22511.0,handsup
6564.0,1480.0,3644.0,1622.0,4524.0,-2284.0,handsup
5328.0,-1056.0,-22020.0,-32567.0,-29761.0,17960.0,handsup
904.0,-1932.0,-11000.0,9753.0,7511.0,-6434.0,handsup
1048.0,-6248.0,-13708.0,266.0,-217.0,511.0,rotate
732.0,-5724.0,-13864.0,-447.0,-301.0,2250.0,rotate
-204.0,-5008.0,-13384.0,490.0,191.0,3918.0,rotate
232.0,-7368.0,-15220.0,-279.0,703.0,3273.0,rotate
220.0,-7340.0,-12988.0,3694.0,289.0,2978.0,rotate
276.0,-11984.0,-12272.0,1591.0,-821.0,-802.0,rotate
740.0,-6608.0,-14008.0,-4607.0,-2088.0,3787.0,rotate
604.0,-4892.0,-13640.0,339.0,-699.0,-201.0,rotate
2324.0,-5592.0,-14424.0,486.0,-74.0,843.0,rotate
1900.0,-8428.0,-14444.0,2323.0,-3129.0,6571.0,rotate
-212.0,-7328.0,-13252.0,-125.0,-41.0,-272.0,rotate
-368.0,-6468.0,-13316.0,-242.0,-304.0,99.0,rotate
-396.0,-6924.0,-13352.0,-238.0,-149.0,22.0,rotate
-380.0,-6536.0,-13596.0,-250.0,-204.0,306.0,rotate
-516.0,-6720.0,-13276.0,-146.0,-193.0,135.0,rotate
-636.0,-7024.0,-13432.0,-133.0,-143.0,68.0,rotate
-520.0,-7428.0,-13568.0,92.0,-197.0,-146.0,rotate
-196.0,-6792.0,-12308.0,404.0,-140.0,332.0,rotate
-372.0,-6860.0,-14264.0,-2227.0,35.0,953.0,rotate
-176.0,-5624.0,-13852.0,-1605.0,-158.0,360.0,rotate
52.0,-5132.0,-14304.0,62.0,96.0,292.0,rotate
336.0,-5032.0,-13936.0,-184.0,-18.0,-962.0,rotate
2356.0,-8508.0,-14996.0,3220.0,1832.0,-976.0,rotate
2976.0,-6384.0,-16356.0,381.0,142.0,-2082.0,rotate
2032.0,-7168.0,-14108.0,-415.0,1534.0,-1865.0,rotate
5356.0,-7452.0,-12760.0,-1734.0,2073.0,-3958.0,rotate
5388.0,-6236.0,-12492.0,-506.0,313.0,649.0,rotate
6748.0,-6304.0,-13128.0,-152.0,1204.0,-324.0,rotate
-2192.0,-1872.0,-16680.0,-11592.0,-3404.0,12369.0,rotate
7104.0,-5528.0,-10900.0,-2478.0,-1563.0,16262.0,rotate
-408.0,-608.0,-15648.0,9325.0,5934.0,-4337.0,rotate
1580.0,-3300.0,-17084.0,1411.0,-6541.0,-18674.0,rotate
-9172.0,-19228.0,-13548.0,15667.0,-13238.0,-30607.0,rotate
-21336.0,-620.0,-21300.0,15310.0,-14965.0,-27409.0,rotate
6212.0,-928.0,-13760.0,3687.0,-2817.0,-5583.0,rotate
4064.0,-15204.0,-10084.0,5889.0,-1391.0,-7974.0,rotate
-29464.0,-15256.0,-25608.0,19059.0,-32710.0,-32768.0,rotate
172.0,-3192.0,-20588.0,-114.0,-3268.0,-28984.0,rotate
3532.0,-5368.0,-11516.0,1223.0,3132.0,1827.0,rotate
516.0,-11760.0,-12816.0,9215.0,-7177.0,-18321.0,rotate
-26040.0,-11212.0,-31600.0,19531.0,-26324.0,-32768.0,rotate
-4668.0,-14532.0,-26832.0,-1606.0,-11637.0,-32768.0,rotate
2780.0,-1136.0,-13688.0,3554.0,964.0,-3221.0,rotate
-724.0,-15100.0,-11620.0,10910.0,-10974.0,-17631.0,rotate
-25356.0,-2424.0,-26564.0,18443.0,-25682.0,-32768.0,rotate
2364.0,-8732.0,-32320.0,-3683.0,-5856.0,-32768.0,rotate
7732.0,-6188.0,-11828.0,-2155.0,-1355.0,2260.0,rotate
-1876.0,-15316.0,-10684.0,16502.0,-7307.0,-16340.0,rotate
-23392.0,-5628.0,-28764.0,19466.0,-30496.0,-32768.0,rotate
5352.0,3724.0,-23576.0,-315.0,-5493.0,-217.0,rotate
7812.0,-1104.0,-14964.0,-5354.0,2482.0,11889.0,rotate
3208.0,-14852.0,-9148.0,7098.0,-1369.0,-6889.0,rotate
-32768.0,-16256.0,-32212.0,27768.0,-32768.0,-32768.0,rotate
-7320.0,-9652.0,-23416.0,2667.0,-3714.0,-24944.0,rotate
7024.0,-6076.0,-13984.0,2321.0,-96.0,559.0,rotate
-1740.0,-18860.0,-7236.0,13520.0,-8440.0,-14964.0,rotate
-26948.0,7644.0,-26328.0,16234.0,-22992.0,-32768.0,rotate
-9040.0,7952.0,-18800.0,18559.0,-3800.0,-32768.0,rotate
7312.0,-9156.0,-9120.0,1469.0,-3338.0,-2580.0,rotate
-1732.0,-19520.0,-9072.0,13277.0,-12438.0,-21911.0,rotate
9556.0,-5208.0,-10428.0,47.0,-625.0,-1151.0,twisting
10456.0,-5008.0,-10012.0,-1760.0,732.0,873.0,twisting
9584.0,-4480.0,-10672.0,504.0,-1313.0,705.0,twisting
9652.0,-5908.0,-10464.0,222.0,-90.0,757.0,twisting
8728.0,-7416.0,-10704.0,-525.0,48.0,-2197.0,twisting
8872.0,-6616.0,-10248.0,-719.0,705.0,-1959.0,twisting
9560.0,-5844.0,-10500.0,-364.0,208.0,168.0,twisting
9792.0,-6196.0,-10652.0,1276.0,-201.0,-458.0,twisting
9308.0,-6900.0,-10496.0,-209.0,401.0,139.0,twisting
9496.0,-7004.0,-10536.0,-230.0,-4.0,-61.0,twisting
9212.0,-7140.0,-10364.0,102.0,-221.0,214.0,twisting
9304.0,-6404.0,-10748.0,-2507.0,696.0,-3173.0,twisting
9196.0,-6592.0,-10476.0,155.0,-2534.0,-1963.0,twisting
9308.0,-5500.0,-10724.0,56.0,-99.0,10.0,twisting
9500.0,-6152.0,-10964.0,95.0,31.0,461.0,twisting
9672.0,-6320.0,-10728.0,-323.0,277.0,76.0,twisting
9216.0,-5700.0,-10876.0,690.0,1293.0,296.0,twisting
4100.0,-10656.0,-9824.0,4836.0,-3177.0,17828.0,twisting
3004.0,-11676.0,-3712.0,7457.0,-4024.0,-1282.0,twisting
